"","SampleID","LibraryName","SampleName","Replicate","Tissue","Host","Condition","Stress"
"SRR13758749","SRR13758749","SW5","SW5","biological replicate 4","gills","Oryzias melastigma","SW_control","Seawater_control"
"SRR13758750","SRR13758750","SW4","SW4","biological replicate 3","gills","Oryzias melastigma","SW_control","Seawater_control"
"SRR13758751","SRR13758751","SW3","SW3","biological replicate 2","gills","Oryzias melastigma","SW_control","Seawater_control"
"SRR13758752","SRR13758752","SW1","SW1","biological replicate 1","gills","Oryzias melastigma","SW_control","Seawater_control"
"SRR13758972","SRR13758972","FW4","SFW4","biological replicate 4","gills","Oryzias melastigma","SFW_intermediate","Intermediate_hypotonic_stress"
"SRR13758973","SRR13758973","FW3","SFW3","biological replicate 3","gills","Oryzias melastigma","SFW_intermediate","Intermediate_hypotonic_stress"
"SRR13758974","SRR13758974","FW2","SFW2","biological replicate 2","gills","Oryzias melastigma","SFW_intermediate","Intermediate_hypotonic_stress"
"SRR13758978","SRR13758978","FWD5","FW5","biological replicate 4","gills","Oryzias melastigma","FW_stress","Freshwater_hypotonic_stress"
"SRR13758979","SRR13758979","FWD4","FW4","biological replicate 3","gills","Oryzias melastigma","FW_stress","Freshwater_hypotonic_stress"
"SRR13758981","SRR13758981","FWD1","FW1","biological replicate 1","gills","Oryzias melastigma","FW_stress","Freshwater_hypotonic_stress"
